Country,Region
Afghanistan,Asia
Albania,Eastern Europe
Algeria,Northern Africa
American Samoa,Oceania
Andorra,Western Europe
Angola,Sub-Saharan Africa
Anguilla,Latin America and the Caribbean
Antigua & Barbuda,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Armenia,Commonwealth of Independent States
Aruba,Latin America and the Caribbean
Australia,Oceania
Austria,Western Europe
Azerbaijan,Commonwealth of Independent States
"Bahamas, The",Latin America and the Caribbean
Bahrain,Near East
Bangladesh,Asia
Barbados,Latin America and the Caribbean
Belarus,Commonwealth of Independent States
Belgium,Western Europe
Belize,Latin America and the Caribbean
Benin,Sub-Saharan Africa
Bermuda,Northern America
Bhutan,Asia
Bolivia,Latin America and the Caribbean
Bosnia & Herzegovina,Eastern Europe
Botswana,Sub-Saharan Africa
Brazil,Latin America and the Caribbean
British Virgin Is.,Latin America and the Caribbean
Brunei,Asia
Bulgaria,Eastern Europe
Burkina Faso,Sub-Saharan Africa
Burma,Asia
Burundi,Sub-Saharan Africa
Cambodia,Asia
Cameroon,Sub-Saharan Africa
Canada,Northern America
Cape Verde,Sub-Saharan Africa
Cayman Islands,Latin America and the Caribbean
Central African Rep.,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America and the Caribbean
China,Asia
Colombia,Latin America and the Caribbean
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Repub. of the",Sub-Saharan Africa
Cook Islands,Oceania
Costa Rica,Latin America and the Caribbean
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Eastern Europe
Cuba,Latin America and the Caribbean
Cyprus,Near East
Czech Republic,Eastern Europe
Denmark,Western Europe
Djibouti,Sub-Saharan Africa
Dominica,Latin America and the Caribbean
DominicanRepublic,Latin America and the Caribbean
East Timor,Asia
Ecuador,Latin America and the Caribbean
Egypt,Northern Africa
El Salvador,Latin America and the Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Baltics
Ethiopia,Sub-Saharan Africa
FaroeIslands,Western Europe
Fiji,Oceania
Finland,Western Europe
France,Western Europe
French Guiana,Latin America and the Caribbean
French Polynesia,Oceania
Gabon,Sub-Saharan Africa
"Gambia, The",Sub-Saharan Africa
Gaza Strip,Near East
Georgia,Commonwealth of Independent States
Germany,Western Europe
Ghana,Sub-Saharan Africa
Gibraltar,Western Europe
Greece,Western Europe
Greenland,Northern America
Grenada,Latin America and the Caribbean
Guadeloupe,Latin America and the Caribbean
Guam,Oceania
Guatemala,Latin America and the Caribbean
Guernsey,Western Europe
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Hong Kong,Asia
Hungary,Eastern Europe
Iceland,Western Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Near East
Ireland,Western Europe
Isle of Man,Western Europe
Israel,Near East
Italy,Western Europe
Jamaica,Latin America and the Caribbean
Japan,Asia
Jersey,Western Europe
Jordan,Near East
Kazakhstan,Commonwealth of Independent States
Kenya,Sub-Saharan Africa
Kiribati,Oceania
"Korea, North",Asia
"Korea, South",Asia
Kuwait,Near East
Kyrgyzstan,Commonwealth of Independent States
Laos,Asia
Latvia,Baltics
Lebanon,Near East
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Baltics
Luxembourg,Western Europe
Macau,Asia
Macedonia,Eastern Europe
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,Asia
Maldives,Asia
Mali,Sub-Saharan Africa
Malta,Western Europe
Marshall Islands,Oceania
Martinique,Latin America and the Caribbean
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mexico,Latin America and the Caribbean
"Micronesia, Fed. St.",Oceania
Moldova,Commonwealth of Independent States
